"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalAlleOnderliggendeDoodsoorzaken_1";"TotaalInfectieuzeEnParasitaireZktn_2";"k_11Tuberculose_3";"k_12Meningokokkeninfecties_4";"k_13ViraleHepatitis_5";"k_14AIDS_6";"k_15OvInfectieuzeEnParasitaireZktn_7";"TotaalNieuwvormingen_8";"TotaalKwaadaardigeNieuwvormingen_9";"k_211KwNvVanLipMondEnKeel_10";"k_212KwNvVanSlokdarm_11";"k_213KwNvVanMaag_12";"k_214KwNvVanDikkeDarm_13";"k_215KwNvVanEndeldarmEnAnus_14";"k_216KwNvLeverEnIntrahGalwegen_15";"k_217KwNvVanGalblaasEnGalwegen_16";"k_218KwNvVanAlvleesklier_17";"k_219KwNvVanStrottehoofd_18";"k_2110KwNvVanLuchtpijpEnLong_19";"k_2111MelanoomVanHuid_20";"k_2112KwNvVanBorst_21";"k_2113KwNvVanBaarmoederhals_22";"k_2114KwNvVanBaarmoederlichaam_23";"k_2115KwNvVanEierstok_24";"k_2116KwNvVanProstaat_25";"k_2117KwNvNierBehalveNierbekken_26";"k_2118KwNvVanUrineblaas_27";"k_2119KwNvLymfEnBloedvWeefsel_28";"k_2120OvKwaadaardigeNieuwvormingen_29";"k_22OverigeNieuwvormingen_30";"k_3ZktnBloedBloedvormendeOrganenEn_31";"TotaalEndocrieneVoedingsStofwZ_32";"k_41Suikerziekte_33";"k_42OvEndocrieneVoedingsStofwis_34";"TotaalPsychischeStoornissen_35";"k_51PsychischeStoornissenDoorAlcohol_36";"k_52PsychischeStoornissenDrugsEnVl_37";"k_53OverigePsychischeStoornissen_38";"TotaalZiektenZenuwstelselEnZintuigen_39";"k_61Hersenvliesontsteking_40";"k_62ZiekteVanParkinson_41";"k_63OvZktnZenuwstelselEnZintuigen_42";"TotaalZiektenVanHartEnVaatstelsel_43";"TotaalZiektenVanDeKransvaten_44";"k_711AcuutHartinfarct_45";"k_712OverigeZiektenVanDeKransvaten_46";"k_72OverigeHartziekten_47";"k_73Hersenvaatletsels_48";"k_74OverigeZiektenHartEnVaatstelsel_49";"TotaalZiektenVanDeAdemhalingsorganen_50";"k_81Griep_51";"k_82Longontsteking_52";"TotaalChronischeAandOndersteLucht_53";"k_831Astma_54";"k_832OvChronAandOndersteLuchtw_55";"k_84OverigeZiektenAdemhalingsorganen_56";"TotaalZiektenSpijsverteringsorganen_57";"k_91MaagzweerEnZweerAanTwaalfvinge_58";"TotaalChronischeLeveraandoeningen_59";"k_921ChronischeLeveraandAlcohol_60";"k_922OvChronischeLeveraandoeningen_61";"k_93OvZiektenSpijsverteringsorganen_62";"k_10ZiektenHuidOnderhuidsBindweefsel_63";"TotaalZiektenSpierenBeendBindwfsl_64";"k_111ReumatoideArtritisEnArtrose_65";"k_112OvZktnSpierenBeendBindwfsl_66";"TotaalZktnUrinewegenEnGeslOrganen_67";"k_121ZiektenVanNierEnUrineleider_68";"k_122OvZktnUrinewegenEnGeslOrganen_69";"k_13ComplicatiesZwangerschapBevallin_70";"k_14AandoeningenVDPerinatalePeriode_71";"TotaalAangeborenAfwijkingen_72";"k_151AangeborenAfwZenuwstelsel_73";"k_152AangeborenAfwHartEnBloedvaten_74";"k_153OverigeAangeborenAfwijkingen_75";"TotaalSympEnOnvollOmschrZiekten_76";"k_161Wiegendood_77";"k_162OnvollOmschrEnOnbekOorzaken_78";"k_163OvSymptomenEnOnvolledigOmsch_79";"TotaalUitwendigeDoodsoorzaken_80";"TotaalOngevallen_81";"TotaalVervoersongevallen_82";"k_17111Wegverkeersongevallen_83";"k_17112OverigeVervoersongevallen_84";"k_1712AccidenteleVal_85";"k_1713AccidenteleVerdrinking_86";"k_1714AccidenteleVergiftiging_87";"k_1715OverigeOngevallen_88";"k_172Zelfdoding_89";"k_173MoordEnDoodslag_90";"k_174GebeurtenissenOpzetOnbekend_91";"k_175OverigeUitwendigeDoodsoorzaken_92";"k_18TotaalCOVID19Coronavirus19_93";"k_181VastgesteldeCOVID19_94";"k_182VermoedelijkeCOVID19_95"
"18098";"T001038";"71800";"GM0153";"2019JJ00";"265";"7";"0";"0";"0";"0";"7";"45";"44";"0";"3";"0";"4";"0";"3";"0";"4";"0";"11";"1";"3";"0";"1";"0";"2";"1";"1";"4";"6";"1";"3";"5";"4";"1";"43";"0";"0";"43";"11";"0";"4";"7";"86";"10";"4";"6";"39";"20";"17";"25";"0";"6";"16";"0";"16";"3";"9";"1";"0";"0";"0";"8";"1";"2";"1";"1";"6";"5";"1";"0";"0";"0";"0";"0";"0";"11";;"1";"10";"11";"11";"1";"0";"1";"10";"0";"0";"0";"0";"0";"0";"0";;;
"18099";"T001038";"71800";"GM0153";"2020JJ00";"287";"4";"0";"0";"0";"0";"4";"49";"41";"1";"1";"1";"3";"0";"1";"1";"4";"0";"5";"0";"2";"0";"2";"2";"2";"1";"1";"6";"8";"8";"1";"6";"6";"0";"31";"0";"0";"31";"19";"0";"4";"15";"72";"10";"5";"5";"34";"14";"14";"24";"0";"13";"10";"1";"9";"1";"6";"0";"0";"0";"0";"6";"2";"2";"1";"1";"6";"5";"1";"0";"0";"0";"0";"0";"0";"13";;"4";"9";"13";"10";"1";"1";"0";"9";"0";"0";"0";"1";"0";"0";"2";"39";"38";"1"
"18120";"T001038";"71800";"GM0518";"2016JJ00";"708";"19";"0";"0";"0";"0";"19";"157";"144";"2";"4";"4";"12";"2";"4";"2";"7";"0";"32";"1";"6";"1";"1";"1";"13";"3";"8";"15";"26";"13";"1";"31";"28";"3";"100";"1";"0";"99";"43";"0";"10";"33";"189";"47";"34";"13";"60";"57";"25";"60";"0";"17";"33";"3";"30";"10";"25";"0";"0";"0";"0";"25";"1";"4";"1";"3";"19";"11";"8";"0";"0";"0";"0";"0";"0";"21";;"12";"9";"38";"32";"1";"1";"0";"29";"0";"1";"1";"0";"0";"0";"6";;;
"18121";"T001038";"71800";"GM0518";"2017JJ00";"716";"14";"0";"0";"0";"0";"14";"132";"123";"0";"4";"5";"16";"2";"2";"0";"8";"0";"22";"1";"6";"0";"0";"2";"11";"4";"10";"10";"20";"9";"1";"19";"15";"4";"114";"0";"0";"114";"51";"0";"12";"39";"187";"47";"26";"21";"58";"51";"31";"64";"3";"16";"35";"0";"35";"10";"19";"1";"1";"1";"0";"17";"2";"14";"4";"10";"20";"14";"6";"0";"0";"0";"0";"0";"0";"39";;"24";"15";"40";"33";"3";"3";"0";"30";"0";"0";"0";"2";"1";"0";"4";;;
"18122";"T001038";"71800";"GM0518";"2018JJ00";"704";"15";"2";"0";"0";"0";"13";"104";"98";"1";"3";"3";"14";"1";"0";"0";"11";"0";"16";"1";"5";"0";"1";"3";"10";"5";"5";"4";"15";"6";"1";"20";"17";"3";"124";"1";"0";"123";"36";"0";"8";"28";"197";"33";"21";"12";"57";"66";"41";"72";"4";"15";"44";"1";"43";"9";"29";"1";"1";"0";"1";"27";"1";"2";"2";"0";"25";"16";"9";"0";"0";"1";"0";"0";"1";"40";;"27";"13";"37";"26";"2";"1";"1";"24";"0";"0";"0";"4";"0";"0";"7";;;
"18123";"T001038";"71800";"GM0518";"2019JJ00";"667";"19";"0";"0";"0";"0";"19";"125";"122";"0";"4";"2";"10";"6";"3";"1";"8";"1";"19";"0";"6";"0";"2";"0";"16";"5";"10";"10";"19";"3";"3";"22";"18";"4";"115";"0";"0";"115";"43";"0";"15";"28";"170";"35";"13";"22";"57";"41";"37";"60";"5";"23";"23";"0";"23";"9";"12";"0";"1";"0";"1";"11";"4";"1";"0";"1";"24";"15";"9";"0";"0";"1";"0";"0";"1";"25";;"12";"13";"43";"31";"0";"0";"0";"30";"1";"0";"0";"3";"0";"1";"8";;;
"18124";"T001038";"71800";"GM0518";"2020JJ00";"767";"13";"0";"0";"1";"0";"12";"134";"126";"0";"6";"5";"11";"11";"0";"1";"7";"1";"18";"5";"8";"0";"3";"0";"6";"5";"4";"12";"23";"8";"3";"17";"16";"1";"65";"1";"0";"64";"27";"1";"7";"19";"174";"32";"17";"15";"63";"46";"33";"55";"4";"16";"28";"2";"26";"7";"18";"0";"0";"0";"0";"18";"5";"3";"1";"2";"20";"13";"7";"0";"0";"0";"0";"0";"0";"41";;"21";"20";"53";"36";"1";"0";"1";"35";"0";"0";"0";"3";"1";"0";"13";"139";"122";"17"
"18145";"T001038";"71800";"GM0014";"2016JJ00";"212";"6";"0";"0";"0";"0";"6";"47";"47";"0";"0";"1";"7";"1";"0";"1";"2";"0";"9";"1";"5";"1";"0";"1";"2";"0";"1";"5";"10";"0";"1";"4";"4";"0";"25";"0";"0";"25";"10";"0";"7";"3";"71";"16";"6";"10";"23";"14";"18";"14";"0";"3";"8";"0";"8";"3";"5";"0";"0";"0";"0";"5";"0";"1";"1";"0";"10";"5";"5";"0";"0";"0";"0";"0";"0";"10";;"1";"9";"8";"7";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"1";;;
"18146";"T001038";"71800";"GM0014";"2017JJ00";"219";"2";"0";"0";"0";"0";"2";"58";"57";"1";"0";"3";"7";"1";"0";"0";"4";"0";"12";"0";"6";"1";"0";"4";"2";"0";"2";"2";"12";"1";"1";"4";"4";"0";"32";"0";"0";"32";"6";"0";"1";"5";"66";"8";"6";"2";"26";"19";"13";"15";"0";"3";"11";"0";"11";"1";"7";"0";"0";"0";"0";"7";"1";"3";"1";"2";"6";"4";"2";"0";"0";"0";"0";"0";"0";"10";;"2";"8";"8";"6";"0";"0";"0";"5";"0";"0";"1";"1";"0";"0";"1";;;
"18147";"T001038";"71800";"GM0014";"2018JJ00";"231";"7";"0";"0";"0";"0";"7";"56";"55";"2";"3";"1";"4";"1";"0";"3";"1";"1";"7";"1";"2";"0";"2";"1";"4";"1";"4";"6";"11";"1";"0";"5";"3";"2";"24";"0";"0";"24";"8";"0";"2";"6";"73";"17";"10";"7";"25";"20";"11";"21";"1";"5";"11";"0";"11";"4";"9";"0";"0";"0";"0";"9";"0";"0";"0";"0";"8";"8";"0";"0";"0";"1";"0";"0";"1";"14";;"6";"8";"5";"5";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";;;
