Maand;2021*;2020;1975
januari;13,899;14,085;15,140
februari;13,448;12,905;13,893
maart;14,852;13,556;15,844
april;14,472;13,375;16,013
mei;14,750;13,791;16,528
juni;14,768;13,928;15,368
juli;16,053;15,625;15,706
augustus;15,798;15,110;15,015
september;16,086;14,966;14,183
oktober;;14,508;13,416
november;;13,555;12,977
december;;13,277;13,793
