"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"LevendGeborenKinderen_2";"Overledenen_3";"TotaleVestiging_4";"VestigingVanuitEenAndereGemeente_5";"Immigratie_6";"TotaalVertrekInclAdmCorrecties_7";"VertrekNaarAndereGemeente_8";"EmigratieInclusiefAdmCorrecties_9";"OverigeCorrecties_10";"Bevolkingsgroei_11";"BevolkingsgroeiRelatief_12";"BevolkingsgroeiSinds1Januari_13";"BevolkingsgroeiSinds1JanuariRela_14";"BevolkingAanHetEindeVanDePeriode_15"
"119603";"GM0608";"2005JJ00";"12284";"187";"88";"404";"378";"26";"567";"534";"33";"-5";"-69";"-0.56";"-69";"-0.56";"12215"
"119616";"GM0608";"2006JJ00";"12215";"136";"94";"473";"446";"27";"543";"515";"28";"2";"-26";"-0.21";"-26";"-0.21";"12189"
"119629";"GM0608";"2007JJ00";"12189";"155";"81";"431";"401";"30";"562";"518";"44";"0";"-57";"-0.47";"-57";"-0.47";"12132"
"119642";"GM0608";"2008JJ00";"12132";"122";"78";"369";"345";"24";"545";"508";"37";"1";"-131";"-1.08";"-131";"-1.08";"12001"
"119655";"GM0608";"2009JJ00";"12001";"139";"104";"405";"370";"35";"459";"425";"34";"3";"-16";"-0.13";"-16";"-0.13";"11985"
"119668";"GM0608";"2010JJ00";"11985";"136";"92";"364";"329";"35";"470";"442";"28";"-1";"-63";"-0.53";"-63";"-0.53";"11922"
"119681";"GM0608";"2011JJ00";"11922";"119";"93";"390";"346";"44";"525";"480";"45";"1";"-108";"-0.91";"-108";"-0.91";"11814"
"119694";"GM0608";"2012JJ00";"11814";"126";"93";"469";"435";"34";"452";"423";"29";"0";"50";"0.42";"50";"0.42";"11864"
"119707";"GM0608";"2013JJ00";"11864";"100";"76";"493";"460";"33";"479";"449";"30";"1";"39";"0.33";"39";"0.33";"11903"
"119720";"GM0608";"2014JJ00";"11903";"126";"96";"497";"455";"42";"502";"475";"27";"-30";"-5";"-0.04";"-5";"-0.04";"11898"
"119733";"GM0608";"2015JJ00";;;;;;;;;;;;;;;
"119746";"GM0608";"2016JJ00";;;;;;;;;;;;;;;
"119759";"GM0608";"2017JJ00";;;;;;;;;;;;;;;
"119772";"GM0608";"2018JJ00";;;;;;;;;;;;;;;
"119785";"GM0608";"2019JJ00";;;;;;;;;;;;;;;
"119798";"GM0608";"2020JJ00";;;;;;;;;;;;;;;
"119820";"GM1676";"2002JJ00";"34503";"355";"362";"1069";"928";"141";"1110";"967";"143";"29";"-19";"-0.06";"-19";"-0.06";"34484"
